Citation,Sample ID,Location,Lat (dd),Long (dd),Elevation,Relief ,Rock type,Rock type 2,sample thickness,Sample type,MAP,MAT,Seismicity,Original 10Be concentration,10Be concentration 105,Published erosion rate,PER Error,CRONUS,cronus error
Portenga (2011),EPP38,"Devil's Hole Mountain, George Washington National Forest, Virginia & West Virginia, United",38.91,-78.71,734,616,Sandstone,Sedimentary,4.0,Small outcrop on summit flats,1011,9,0.224334,393756,3.94,,,14.06,1.06
Portenga (2011),EPP39,"Crannys Crow, Lost River State Park, West Virginia, United States",38.90,-78.91,751,434,Sandstone,Sedimentary,3.0,Outcrop near cliff edge,1077,8,0.224334,965199,9.65,,,5.30,0.44
Portenga (2011),EPP40,"Crannys Crow, Lost River State Park, West Virginia, United States",38.90,-78.91,751,434,Sandstone,Sedimentary,5.0,Outcrop near cliff edge,1077,8,0.224334,743899,7.44,,,7.00,0.56
Portenga (2011),EPP41,"Miller Rock, Lost River State Park, West Virginia, United States",38.92,-78.89,835,467,Sandstone,Sedimentary,8.0,Top of ridgeline outcrop,1116,8,0.224334,888805,8.89,,,5.97,0.49
Portenga (2011),EPP42,"Miller Rock, Lost River State Park, West Virginia, United States",38.92,-78.89,835,467,Sandstone,Sedimentary,2.0,Top of ridgeline outcrop,1116,8,0.224334,776198,7.76,,,7.29,0.60
Portenga (2011),EPP43,"Seneca Rocks, Monongahela National Forest, West Virginia, United States",38.84,-79.37,564,667,Sandstone,Sedimentary,3.0,"Upper side of ridgeline outcrop, ~1 meter below top of outcrop",1011,10,0.212027,93624,0.94,,,58.43,4.00
Portenga (2011),EPP44,"Seneca Rocks, Monongahela National Forest, West Virginia, United States",38.84,-79.37,564,667,Sandstone,Sedimentary,4.0,"Upper side of ridgeline outcrop, ~1 meter below top of outcrop",1011,10,0.212027,183484,1.83,,,28.43,2.00
Portenga (2011),EPP45,"Chimney Rocks, Monongahela National Forest, West Virginia, United States",38.97,-79.26,816,824,Sandstone,Sedimentary,3.0,Top of tor,1155,8,0.224334,253346,2.53,,,24.16,1.75
Portenga (2011),EPP46,"Chimney Rocks, Monongahela National Forest, West Virginia, United States",38.97,-79.26,816,824,Sandstone,Sedimentary,4.0,Top of tor,1155,8,0.224334,377968,3.78,,,15.60,1.18
Portenga (2011),EPP47,"Chimney Rocks, Monongahela National Forest, West Virginia, United States",38.96,-79.26,719,665,Sandstone,Sedimentary,1.0,Top of ridgeline outcrop near large cliff,1134,8,0.224334,509193,5.09,,,10.73,0.84
Portenga (2011),EPP48,"Chimney Rocks, Monongahela National Forest, West Virginia, United States",38.96,-79.26,719,665,Sandstone,Sedimentary,1.0,Top of ridgeline outcrop near large cliff,1134,8,0.224334,887092,8.87,,,5.78,0.47
Portenga (2011),EPS01,"Rim Trail, Tuscarora State Forest, Pennsylvania, United States",40.24,-77.64,552,435,Sandstone,Sedimentary,6.0,Spur ridge,1099,8,0.253313,230861,2.31,,,22.19,1.59
Portenga (2011),EPS02,"Rim Trail, Tuscarora State Forest, Pennsylvania, United States",40.24,-77.64,552,435,Sandstone,Sedimentary,4.0,Spur ridge,1099,8,0.253313,410871,4.11,,,11.99,0.90
Portenga (2011),EPS03,"Round Top Trail, Tuscarora State Forest, Pennsylvania, United States",40.26,-77.66,486,485,Sandstone,Sedimentary,3.0,Outcrop on summit flats,1047,9,0.253313,532807,5.33,,,8.60,0.67
Portenga (2011),EPS04,"Round Top Trail, Tuscarora State Forest, Pennsylvania, United States",40.26,-77.66,565,485,Sandstone,Sedimentary,1.0,Outcrop on summit flats,1082,8,0.253313,473664,4.74,,,10.58,0.81
Portenga (2011),EPS05,"Pine Ridge Trail, Tuscarora State Forest, Pennsylvania, United States",40.44,-77.68,518,449,Conglomerate,Sedimentary,1.0,Outcrop nested between small hills with no real obscuring relief,1055,8,0.252165,654878,6.55,,,7.12,0.57
Portenga (2011),EPS06,"Pine Ridge Trail, Tuscarora State Forest, Pennsylvania, United States",40.44,-77.68,518,449,Conglomerate,Sedimentary,1.0,Outcrop nested between small hills with no real obscuring relief,1055,8,0.252165,692283,6.92,,,6.68,0.56
Portenga (2011),EPS07,"Prayer Rock, Pennsylvania, United States",40.54,-77.76,462,430,Sandstone,Sedimentary,3.0,Top of ridgeline,1041,8,0.252165,427397,4.27,,,10.83,0.83
Portenga (2011),EPS08,"Prayer Rock, Pennsylvania, United States",40.54,-77.76,462,430,Sandstone,Sedimentary,2.0,Top of ridgeline,1041,8,0.252165,570167,5.70,,,7.90,0.64
Portenga (2011),EPS09,"Spring Creek, Rothrock State Forest, Pennsylvania, United States",40.76,-77.76,390,424,Sandstone,Sedimentary,7.0,Spur ridge,1024,8,0.252165,199788,2.00,,,23.10,1.62
Portenga (2011),EPS10,"Spring Creek, Rothrock State Forest, Pennsylvania, United States",40.76,-77.76,390,424,Sandstone,Sedimentary,2.0,Spur ridge,1024,8,0.252165,323549,3.24,,,14.09,1.03
Portenga (2011),EPS11,"Turtle Rocks, Moshannon State Forest, Pennsylvania, United States",40.92,-78.12,562,251,Quartz conglomerate,Sedimentary,2.0,Outcrop in flat woody area,1023,7,0.193638,2177021,21.77,,,1.79,0.17
Portenga (2011),EPS12,"Turtle Rocks, Moshannon State Forest, Pennsylvania, United States",40.92,-78.12,562,251,Quartz conglomerate,Sedimentary,4.0,Outcrop in flat woody area,1023,7,0.193638,981990,9.82,,,4.57,0.38
Portenga (2011),EPS13,"Panther Rocks, Moshannon State Forest, Pennsylvania, United States",41.14,-78.49,650,186,Quartz conglomerate,Sedimentary,2.0,Outcrop in flat woody area,1118,6,0.193638,2111813,21.12,,,2.03,0.19
Portenga (2011),EPS14,"Panther Rocks, Moshannon State Forest, Pennsylvania, United States",41.14,-78.49,650,186,Quartz conglomerate,Sedimentary,2.0,Outcrop in flat woody area,1118,6,0.193638,2346996,23.47,,,1.78,0.17
Portenga (2011),EPS15,"Panther Rocks, Moshannon State Forest, Pennsylvania, United States",41.14,-78.49,650,186,Quartz conglomerate,Sedimentary,1.0,Outcrop in flat woody area,1118,6,0.193638,2207321,22.07,,,1.94,0.19
Portenga (2011),EPS16,"Hawk Rock, Duncannon, Pennsylvania, United States",40.37,-77.06,233,291,Sandstone,Sedimentary,2.0,Top of ridgeline,1066,10,0.249575,284989,2.85,,,14.32,1.04
Portenga (2011),EPS17,"Hawk Rock, Duncannon, Pennsylvania, United States",40.37,-77.05,215,291,Sandstone,Sedimentary,7.0,Top of ridgeline,1060,10,0.249575,148005,1.48,,,28.13,1.92
Portenga (2011),EPS18,"Hawk Rock, Duncannon, Pennsylvania, United States",40.38,-77.04,228,291,Sandstone,Sedimentary,3.0,Along ridgeline adjacent to large cliff,1048,10,0.249575,277083,2.77,,,14.62,1.06
Portenga (2011),EPS19,"Michaux Oaks Rd., Michaux State Forest, Pennsylvania, United States",40.04,-77.35,429,402,Quartzite,Metamorphic,2.0,Outcrop nested between small hills with no real obscuring relief,1098,9,0.249350,807132,8.07,,,5.14,0.42
Portenga (2011),EPS20,"Michaux Oaks Rd., Michaux State Forest, Pennsylvania, United States",40.04,-77.35,429,402,Quartzite,Metamorphic,4.0,Outcrop nested between small hills with no real obscuring relief,1098,9,0.249350,899523,9.00,,,4.46,0.38
Portenga (2011),EPS21,"Pole Steeple, Michaux State Forest, Pennsylvania, United States",40.03,-77.27,238,263,Quartzite,Metamorphic,4.0,Top of ridgeline,1083,10,0.249350,296452,2.96,,,13.52,0.98
Portenga (2011),EPS22,"Pole Steeple, Michaux State Forest, Pennsylvania, United States",40.03,-77.27,238,263,Quartzite,Metamorphic,5.0,Top of ridgeline,1083,10,0.249350,1362536,13.63,,,2.25,0.21
Portenga (2011),EPS23,"Pole Steeple, Michaux State Forest, Pennsylvania, United States",40.03,-77.27,238,263,Quartzite,Metamorphic,5.0,Top of ridgeline,1083,10,0.249350,264200,2.64,,,15.27,1.10
Portenga (2011),EPS24,"Rock Ridge, Rocks State Park, Maryland, United States",39.64,-76.41,114,138,Schist,Metamorphic,4.0,Top of ridgeline,1112,11,0.298508,950218,9.50,,,3.12,0.27
Portenga (2011),EPS25,"Rock Ridge, Rocks State Park, Maryland, United States",39.64,-76.41,114,138,Schist,Metamorphic,2.0,Top of ridgeline,1112,11,0.298508,871716,8.72,,,3.52,0.30
Portenga (2011),EPS26,"Rock Ridge, Rocks State Park, Maryland, United States",39.64,-76.41,114,138,Schist and quartz vein,Metamorphic,5.0,Top of ridgeline,1112,11,0.298508,297170,2.97,,,12.09,0.88
Reuter (2005),JSQ122,"Water Rocks, Pennsylvania, United States",41.21,-77.83,90,310,sandstone,Sedimentary,3.5,,1064,7,0.399615,1255000,12.55,4.00,0.00,2.50,0.24
Reuter (2005),JSQ163,"Water Rocks, Pennsylvania, United States",41.21,-77.83,689,310,sandstone,Sedimentary,3.0,,1064,7,0.399615,1034000,10.34,4.90,0.00,5.47,0.48
Reuter (2005),JSQ164,"Water Rocks, Pennsylvania, United States",41.21,-77.83,687,310,sandstone,Sedimentary,2.5,,1064,7,0.399615,1244000,12.44,4.00,0.00,4.42,0.40
Reuter (2005),JSQ162,"Split Rock at Wolf Run, Pennsylvania, United States",40.52,-76.75,412,380,sandstone,Sedimentary,1.0,,1125,8,0.252786,1558000,15.58,2.50,0.00,2.62,0.25
Sullivan (2007),CSB-1,"Blue Ridge Escarpment, Southern Appalachian Mountains, United States",36.62,-80.76,896,491,Gneiss,Metamorphic,3.5,"Escarpment, moderately weathered",1190,10,0.428108,69000,0.69,56.80,7.80,105.87,9.39
Sullivan (2007),CSB-2,"Blue Ridge Escarpment, Southern Appalachian Mountains, United States",35.43,-82.25,658,786,Gneiss,Metamorphic,3.5,Escarpment,1469,11,0.640559,2710000,27.10,1.70,0.20,1.48,0.16
Sullivan (2007),CSB-3,"Blue Ridge Escarpment, Southern Appalachian Mountains, United States",35.62,-82.26,951,647,Metagraywacke & Mica schist,Metamorphic,3.5,Escarpment,1377,11,0.640559,334000,3.34,17.40,2.30,20.62,1.74
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
