,filename,original_index,easting,northing,i,j,hilltop_id,Cht,S,R,Lh,BasinID,a,b,StreamID,HilltopSlope,DivergentCount,PlanarCountFlag,E_Star,R_Star,EucDist,tile_number,EPSG,latitude,longitude,an_avg_ETR,an_avg_TMAX,an_avg_TMIN,an_cv_AET,an_cv_ETR,an_cv_PET,an_cv_PRCP,an_cv_WDI,an_sd_GDD0,an_sd_GDD5,an_sd_TMAX,an_sd_TMIN,an_sum_AET,an_sum_GDD0,an_sum_GDD5,an_sum_PET,an_sum_PRCP,an_sum_WDI
0,tile_0_filled_HilltopData,43676.5,596839.0,4239600.0,1480.0,1665.0,2.0,-0.01333905,0.3040975,42.51545,138.399,219.0,1576.0,1719.0,1.0,0.22822900000000002,30.0,130.0,4.107635,0.38012199999999996,132.0035,0,32617.0,38.299213407258975,-79.89251492357772,0.9782529583469342,-1.0048484623883709,-11.878636098128151,1.1466400920581852,0.06037968463234954,1.1390762948433495,0.40117709286188313,0.3506914497967571,120.57144967701161,57.70969591709146,11.409201710042373,12.894360018860219,119.11818359318104,974.8545599810102,397.290915011005,119.70909269289537,1670.4636612554843,1550.754568562589
1,tile_10_filled_HilltopData,50166.5,728203.0,4447820.0,1131.0,1668.0,2.0,-0.004358745000000001,0.23649949999999997,71.25745,294.03049999999996,346.0,1423.0,1983.0,1.0,0.185639,7.0,356.0,2.886625,0.295624,282.2805,10,32617.0,40.149708170886775,-78.32080722651293,1.0,-5.921893807029295,-15.004620876741793,1.7830195890261467,-1.7e+308,1.7830195890261467,0.4980833794236473,0.47543723112242336,67.22946522459893,17.80399800702761,11.497525699717727,11.898674168607918,33.600000500679016,470.7272797416557,106.83636522834951,33.600000500679016,1474.3636583333666,1440.7636578326876
2,tile_11_filled_HilltopData,41335.0,756002.0,4455710.0,1291.0,1241.0,1.0,-0.00471448,0.228193,55.8374,249.348,277.0,1401.0,1249.0,1.0,0.174173,0.0,300.0,2.55243,0.285242,242.78,11,32618.0,40.21270760530929,-77.99169550007785,1.0,-5.806211991433167,-14.215454227714377,2.125394468195401,-1.7e+308,2.125394468195401,0.48125616686634803,0.4626585584836305,71.37852193890993,20.104329277164656,11.382587038977437,11.699727293228985,26.636364033276383,496.0272801186551,117.7636381184513,26.636364033276383,1432.3909304351969,1405.7545664019206
3,tile_12_filled_HilltopData,30056.0,808158.0,4468930.0,1308.0,1654.0,1.0,-0.00486999,0.227165,36.6263,170.509,298.0,1108.0,1552.0,1.0,0.208818,0.0,211.0,1.61671,0.283957,166.615,12,32618.0,40.31416564751349,-77.37393242064248,1.0,-5.141363521445204,-13.15204516057433,1.9219077972767977,-1.7e+308,1.9219077972767977,0.46390447151612735,0.44269676159623783,79.50387673566736,25.094927175710673,11.310353893640501,11.521231592239133,36.21818235787478,566.3727357123386,151.5363658944314,36.21818235787478,1421.6727484573019,1385.454566099427
4,tile_13_filled_HilltopData,25936.5,771509.0,4474520.0,1373.0,1803.0,1.0,-0.00492523,0.2767025,43.5755,182.0635,278.0,1241.0,1644.0,1.0,0.2209105,6.0,209.0,2.0125599999999997,0.3458785,175.7465,13,32618.0,40.377102173448385,-77.80204603158306,1.0,-5.806211991433167,-14.215454227714377,2.125394468195401,-1.7e+308,2.125394468195401,0.48125616686634803,0.4626585584836305,71.37852193890993,20.104329277164656,11.382587038977437,11.699727293228985,26.636364033276383,496.0272801186551,117.7636381184513,26.636364033276383,1432.3909304351969,1405.7545664019206
5,tile_14_filled_HilltopData,29299.5,796112.0,4477690.0,1503.0,1360.0,2.0,-0.00463187,0.1391125,22.935299999999998,161.485,357.0,1516.0,1260.0,1.0,0.117319,0.0,205.0,1.590185,0.1738905,153.92000000000002,14,32618.0,40.397421558101705,-77.51126658400996,1.0,-5.806211991433167,-14.215454227714377,2.125394468195401,-1.7e+308,2.125394468195401,0.48125616686634803,0.4626585584836305,71.37852193890993,20.104329277164656,11.382587038977437,11.699727293228985,26.636364033276383,496.0272801186551,117.7636381184513,26.636364033276383,1432.3909304351969,1405.7545664019206
6,tile_15_filled_HilltopData,53003.0,743624.0,4487690.0,1472.0,1465.0,2.0,-0.005128,0.224385,45.7696,222.894,330.0,1313.0,1789.0,1.0,0.189354,0.0,271.0,2.32958,0.280482,215.693,15,32617.0,40.50425480517671,-78.12494339818748,0.990909090909091,-7.600075587700826,-16.245378424766276,1.9791356713376873,-1.7e+308,1.9784540603454936,0.5324490701899744,0.5159256760829959,50.441578608553385,9.257854191024721,11.445384706453538,11.890823901773292,23.26363671029156,333.07273223589766,51.69090986116366,23.272727619517934,1375.3182023120198,1352.0454746925018
7,tile_16_filled_HilltopData,51987.0,723661.0,4476170.0,1786.0,1456.0,2.0,-0.00413392,0.201987,65.395,311.607,112.0,1498.0,1805.0,1.0,0.182092,0.0,394.0,2.62023,0.252484,300.18,16,32617.0,40.40616554421863,-78.36421294682037,1.0,-5.921893807029295,-15.004620876741793,1.7830195890261467,-1.7e+308,1.7830195890261467,0.4980833794236473,0.47543723112242336,67.22946522459893,17.80399800702761,11.497525699717727,11.898674168607918,33.600000500679016,470.7272797416557,106.83636522834951,33.600000500679016,1474.3636583333666,1440.7636578326876
8,tile_17_filled_HilltopData,30557.5,824388.0,4497110.0,1394.0,1641.0,1.0,-0.005273445,0.2192285,47.2234,203.9625,188.0,1381.0,1575.0,1.0,0.181173,0.0,245.0,2.289855,0.2740355,196.482,17,32618.0,40.56124035544938,-77.1686981928725,1.0,-7.094999841414392,-14.677045126487924,2.1464622931803086,-1.7e+308,2.1464622931803086,0.48621170158882077,0.4703101025599961,58.80503091371165,13.020150154028029,11.234495056832294,11.596957440922413,23.445454894819044,395.05455134131694,73.4090920029716,23.445454894819044,1350.6545655808666,1327.2091106860476
9,tile_18_filled_HilltopData,27079.5,792787.0,4498870.0,1288.0,2014.0,2.0,-0.004977375,0.25065649999999995,77.87615,331.65250000000003,165.0,1449.0,1841.0,1.0,0.160076,11.0,392.0,3.2668049999999997,0.31332099999999996,320.80150000000003,18,32618.0,40.588825701311535,-77.54033659486836,1.0,-7.847727097316899,-15.56749965203926,2.3463231215498404,-1.7e+308,2.3463231215498404,0.5135998022489345,0.5007548681062038,51.0249122452201,9.637911740044112,11.289338435484773,11.761653448093483,17.13636389171535,336.38182319429785,53.25454624810002,17.13636389171535,1306.472746740688,1289.3363828489726
10,tile_19_filled_HilltopData,54252.0,772226.0,4506050.0,986.0,1612.0,2.0,-0.00357007,0.165783,40.1692,242.29,238.0,1250.0,1487.0,1.0,0.123477,0.0,296.0,2.03105,0.207229,235.083,19,32618.0,40.66046292169758,-77.78002111670438,1.0,-7.847727097316899,-15.56749965203926,2.3463231215498404,-1.7e+308,2.3463231215498404,0.5135998022489345,0.5007548681062038,51.0249122452201,9.637911740044112,11.289338435484773,11.761653448093483,17.13636389171535,336.38182319429785,53.25454624810002,17.13636389171535,1306.472746740688,1289.3363828489726
11,tile_1_filled_HilltopData,35072.0,638565.0,4266750.0,1412.0,1574.0,2.0,-0.00753022,0.271688,51.8614,193.295,95.0,1379.0,1771.0,1.0,0.202273,17.0,214.0,3.20199,0.33961,183.432,1,32617.0,38.538430664779504,-79.41009086693305,0.9963065669528116,-1.8641666249992948,-12.665605777507704,1.3313423558287831,0.012370041140353217,1.3292848659149767,0.4979055677463803,0.46431439031525285,110.03425334779708,48.48076439943943,11.331951627191625,12.727769467969159,71.61818288537589,858.0545582405546,322.16364116424865,71.718182886866,1675.3818431469526,1603.6636602600868
12,tile_20_filled_HilltopData,41991.5,836289.0,4519280.0,1587.0,1115.0,1.0,-0.004191415,0.1946175,42.2883,215.712,399.0,1674.0,1335.0,1.0,0.14578449999999998,0.0,272.0,2.078195,0.243272,207.029,20,32618.0,40.75526820510776,-77.01658177829434,1.0,-7.094999841414392,-14.677045126487924,2.1464622931803086,-1.7e+308,2.1464622931803086,0.48621170158882077,0.4703101025599961,58.80503091371165,13.020150154028029,11.234495056832294,11.596957440922413,23.445454894819044,395.05455134131694,73.4090920029716,23.445454894819044,1350.6545655808666,1327.2091106860476
13,tile_21_filled_HilltopData,17720.0,831814.0,4532690.0,771.0,1368.0,1.0,-0.00477799,0.146957,18.1152,127.053,125.0,841.0,1305.0,1.0,0.106145,0.0,158.0,1.40501,0.183696,119.562,21,32618.0,40.87817920185201,-77.06207133649019,1.0,-7.094999841414392,-14.677045126487924,2.1464622931803086,-1.7e+308,2.1464622931803086,0.48621170158882077,0.4703101025599961,58.80503091371165,13.020150154028029,11.234495056832294,11.596957440922413,23.445454894819044,395.05455134131694,73.4090920029716,23.445454894819044,1350.6545655808666,1327.2091106860476
14,tile_22_filled_HilltopData,42833.0,817514.0,4533900.0,1458.0,1069.0,2.0,-0.00372644,0.151063,19.8833,162.172,454.0,1576.0,1181.0,1.0,0.124696,0.0,207.0,1.32322,0.188829,153.625,22,32618.0,40.894562686051096,-77.2310968904771,1.0,-7.094999841414392,-14.677045126487924,2.1464622931803086,-1.7e+308,2.1464622931803086,0.48621170158882077,0.4703101025599961,58.80503091371165,13.020150154028029,11.234495056832294,11.596957440922413,23.445454894819044,395.05455134131694,73.4090920029716,23.445454894819044,1350.6545655808666,1327.2091106860476
15,tile_23_filled_HilltopData,47727.5,843826.0,4536630.0,1500.0,1248.0,1.0,-0.003395305,0.146752,25.253500000000003,175.1955,364.0,1266.0,1334.0,1.0,0.10073,0.0,216.0,1.407355,0.1834405,167.41750000000002,23,32618.0,40.9084087420819,-76.91773164583964,1.0,-6.61787863995767,-14.3900754359325,2.1505010560328586,-1.7e+308,2.1505010560328586,0.472543890081995,0.4549137264495433,61.404833690460805,14.709085016466684,11.108546168622322,11.38114652498287,28.03636405413801,412.7454606958411,82.37272850017656,28.03636405413801,1415.8727483708751,1387.836384316737
16,tile_24_filled_HilltopData,40366.5,830033.0,4543990.0,1677.0,1109.0,1.0,-0.003744335,0.13360650000000002,18.864649999999997,158.14749999999998,436.0,1937.0,1239.0,1.0,0.1025715,0.0,201.0,1.351865,0.167008,151.00549999999998,24,32618.0,40.98039199817312,-77.0772724864451,1.0,-7.094999841414392,-14.677045126487924,2.1464622931803086,-1.7e+308,2.1464622931803086,0.48621170158882077,0.4703101025599961,58.80503091371165,13.020150154028029,11.234495056832294,11.596957440922413,23.445454894819044,395.05455134131694,73.4090920029716,23.445454894819044,1350.6545655808666,1327.2091106860476
17,tile_25_filled_HilltopData,91490.0,838972.0,4553280.0,1498.0,1182.0,2.0,-0.00375406,0.189175,45.2571,232.735,551.0,1265.0,1277.0,1.0,0.153531,0.0,282.0,1.8838,0.236468,227.269,25,32618.0,41.060219723492196,-76.96639015178789,0.9818181818181818,-8.621969504253657,-16.93924204562085,2.809397713111169,-1.7e+308,2.8002637625472535,0.5240255149758791,0.5169990094708804,36.47103316887797,4.744417041846877,11.099478290804747,11.213615179069317,8.681818311187355,227.19091247631744,25.13636401092464,8.690909220413728,1278.6091099618511,1269.9182007414374
18,tile_26_filled_HilltopData,107333.0,848984.0,4571080.0,1503.0,1214.0,2.0,-0.00317909,0.240836,73.0186,283.909,712.0,1963.0,1450.0,1.0,0.182658,0.0,346.0,1.92223,0.301045,281.17,26,32618.0,41.21574313426666,-76.83739446460517,0.9818181818181818,-8.621969504253657,-16.93924204562085,2.809397713111169,-1.7e+308,2.8002637625472535,0.5240255149758791,0.5169990094708804,36.47103316887797,4.744417041846877,11.099478290804747,11.213615179069317,8.681818311187355,227.19091247631744,25.13636401092464,8.690909220413728,1278.6091099618511,1269.9182007414374
19,tile_27_filled_HilltopData,39355.5,600075.0,4218500.0,1586.0,1834.0,2.0,-0.0112797,0.33572,55.73095,166.018,285.0,1672.0,1794.0,1.0,0.22690149999999998,55.0,140.0,4.539905,0.41965050000000004,159.453,27,32617.0,38.108755929514615,-79.85849663840224,0.9782529583469342,-1.0048484623883709,-11.878636098128151,1.1466400920581852,0.06037968463234954,1.1390762948433495,0.40117709286188313,0.3506914497967571,120.57144967701161,57.70969591709146,11.409201710042373,12.894360018860219,119.11818359318104,974.8545599810102,397.290915011005,119.70909269289537,1670.4636612554843,1550.754568562589
20,tile_28_filled_HilltopData,36868.0,592529.0,4182270.0,1437.0,1715.0,2.0,-0.010366,0.374279,64.6863,171.479,530.0,1541.0,1685.0,1.0,0.27138,67.0,137.0,4.14776,0.467848,166.123,28,32617.0,37.783111622512,-79.94919787442078,0.9912693751604286,2.342802977937302,-8.629014958641633,1.01230778063921,0.02753846940185617,1.0071546051079834,0.36865923719927524,0.28109593815226,164.6425203948031,99.5182527068295,11.524690978454554,12.907170662963868,227.8090943037109,1464.4272945489395,761.2909204350276,228.7636397724802,1446.018203365532,1217.2545635930517
21,tile_29_filled_HilltopData,65791.0,637603.0,4226120.0,1388.0,1311.0,2.0,-0.00638589,0.315513,63.7116,203.223,302.0,1281.0,1392.0,1.0,0.238251,39.0,206.0,3.19818,0.394391,195.69,29,32617.0,38.17253154584338,-79.42910013090605,0.9710883718585855,0.12825757289079553,-11.004923996445017,1.1265371758041347,0.0687313466817474,1.1178295275410934,0.441573695133959,0.38338544171565403,132.21560017554575,68.68557502895075,11.214387718488984,12.625082289618895,131.93636560236865,1087.6545616618612,482.88182537731797,132.7000019773841,1514.6909316615624,1381.9909296841784
22,tile_2_filled_HilltopData,16771.0,646633.0,4272060.0,1651.0,1615.0,2.0,-0.00718841,0.277348,50.151,219.537,248.0,1426.0,1580.0,1.0,0.168744,16.0,227.0,3.51437,0.346685,208.638,2,32617.0,38.584968282428775,-79.3162324303006,0.9963065669528116,-1.8641666249992948,-12.665605777507704,1.3313423558287831,0.012370041140353217,1.3292848659149767,0.4979055677463803,0.46431439031525285,110.03425334779708,48.48076439943943,11.331951627191625,12.727769467969159,71.61818288537589,858.0545582405546,322.16364116424865,71.718182886866,1675.3818431469526,1603.6636602600868
23,tile_30_filled_HilltopData,48146.5,638778.0,4212110.0,1501.0,1563.0,1.0,-0.00540768,0.25451250000000003,36.215450000000004,163.33350000000002,318.0,1455.0,1467.0,1.0,0.18713249999999998,0.0,192.0,1.8885450000000001,0.3181405,155.272,30,32617.0,38.04605089626538,-79.41841002510594,0.9710883718585855,0.12825757289079553,-11.004923996445017,1.1265371758041347,0.0687313466817474,1.1178295275410934,0.441573695133959,0.38338544171565403,132.21560017554575,68.68557502895075,11.214387718488984,12.625082289618895,131.93636560236865,1087.6545616618612,482.88182537731797,132.7000019773841,1514.6909316615624,1381.9909296841784
24,tile_31_filled_HilltopData,31149.0,681356.0,4282630.0,1306.0,1430.0,2.0,-0.00590441,0.246282,32.6277,145.654,235.0,1283.0,1413.0,1.0,0.168075,6.0,164.0,1.98679,0.307853,138.528,31,32617.0,38.67354510871908,-78.91532862449232,0.9894378595327397,0.025757575181849075,-10.971211875986421,1.199456632086507,0.02960561095169702,1.1936978473730167,0.5221266077775768,0.4765261529567383,131.55780965771564,68.12814028099498,11.370453106810315,12.372507424973582,109.33636526560241,1073.6636523624713,476.2090980051593,109.73636527156287,1550.0182049152527,1440.2818396436896
25,tile_32_filled_HilltopData,62657.0,731735.0,4347370.0,1709.0,1657.0,2.0,-0.00467031,0.243261,49.9012,217.107,315.0,1633.0,1503.0,1.0,0.222942,0.0,266.0,2.20993,0.304076,209.838,32,32617.0,39.24477111804473,-78.31472529503445,0.9889001806785445,-0.894393919402677,-11.342575504049433,1.4337698605507192,-1.7e+308,1.4313849915035266,0.4946019890099628,0.45719920094638683,122.5408593304004,60.29481219377841,11.36247984668757,12.141304989110314,74.55454656549476,974.9818327101794,409.0545515499332,74.65454656698488,1495.4091131924229,1420.754566625438
26,tile_33_filled_HilltopData,40571.0,606816.0,4185980.0,1418.0,2015.0,2.0,-0.00944427,0.342455,44.0264,137.338,233.0,1457.0,2042.0,1.0,0.237342,44.0,117.0,2.93892,0.428069,131.669,33,32617.0,37.81492056108665,-79.7864317676442,0.9912693751604286,2.342802977937302,-8.629014958641633,1.01230778063921,0.02753846940185617,1.0071546051079834,0.36865923719927524,0.28109593815226,164.6425203948031,99.5182527068295,11.524690978454554,12.907170662963868,227.8090943037109,1464.4272945489395,761.2909204350276,228.7636397724802,1446.018203365532,1217.2545635930517
27,tile_34_filled_HilltopData,36486.5,586546.0,4172730.0,1503.0,1561.0,2.0,-0.01308295,0.357449,61.83,177.942,427.0,1564.0,1468.0,1.0,0.2408365,58.0,153.0,5.14981,0.446811,170.312,34,32617.0,37.69771721084025,-80.01830193931976,0.9785187060791385,0.6342424100660013,-10.066136138640683,1.0678716469760228,0.061708921107582644,1.0627735360270867,0.3684255357588003,0.2781864212118381,149.78758195587335,85.31208921552056,11.802338275923228,13.439043493117829,189.96363919431514,1282.8727463890207,627.4272820766677,190.61818465861407,1432.590930438177,1241.9727457795632
28,tile_35_filled_HilltopData,44434.0,579419.0,4174820.0,1290.0,1656.0,2.0,-0.0117001,0.343843,50.338,154.042,513.0,1358.0,1718.0,1.0,0.260751,51.0,129.0,4.24979,0.429804,147.305,35,32617.0,37.71719165771478,-80.09886665125974,0.9785187060791385,0.6342424100660013,-10.066136138640683,1.0678716469760228,0.061708921107582644,1.0627735360270867,0.3684255357588003,0.2781864212118381,149.78758195587335,85.31208921552056,11.802338275923228,13.439043493117829,189.96363919431514,1282.8727463890207,627.4272820766677,190.61818465861407,1432.590930438177,1241.9727457795632
29,tile_36_filled_HilltopData,46607.5,557399.0,4145340.0,1626.0,1345.0,2.0,-0.006703725,0.368753,73.9843,195.946,461.0,1588.0,1304.0,1.0,0.24097000000000002,60.0,188.0,2.946475,0.4609415,192.08800000000002,36,32617.0,37.45313811043643,-80.3510086981949,0.9953564339568907,1.6697726899503984,-9.270908883688124,1.038110128092712,0.01601071183432343,1.0336148612891352,0.3222283721231219,0.22413647957709087,159.7531541589313,94.70292292620978,11.685871938711857,13.206140442431659,225.68182154473934,1401.6909299777312,719.0454652600667,226.4363670105284,1482.9091130061583,1256.47274599563
30,tile_37_filled_HilltopData,40668.5,578888.0,4157240.0,1299.0,1908.0,2.0,-0.006368555,0.3641495,74.85419999999999,207.768,333.0,1378.0,1809.0,1.0,0.2389395,58.0,200.0,2.951955,0.455187,201.867,37,32617.0,37.55880786800881,-80.10678414812708,0.9785187060791385,0.6342424100660013,-10.066136138640683,1.0678716469760228,0.061708921107582644,1.0627735360270867,0.3684255357588003,0.2781864212118381,149.78758195587335,85.31208921552056,11.802338275923228,13.439043493117829,189.96363919431514,1282.8727463890207,627.4272820766677,190.61818465861407,1432.590930438177,1241.9727457795632
31,tile_38_filled_HilltopData,38150.5,383493.0,4054840.0,1424.0,1426.0,2.0,-0.02759155,0.385533,36.30325,91.28295,239.0,1375.0,1452.0,1.0,0.21240150000000002,59.0,49.0,6.029344999999999,0.481916,86.85325,38,32617.0,36.6320276703301,-82.30312835691907,0.9963019576774741,2.5500757005771226,-8.150378605703626,1.0126140461246247,0.012863453368009885,1.008912833173617,0.2892391451447704,0.1726773110468246,185.20732083032226,119.15057535049927,12.296875116747493,14.501893523508913,277.6272768642415,1699.2272980477321,957.4818324494091,278.4636405130679,1478.7727493081582,1200.3091087950902
32,tile_39_filled_HilltopData,47888.0,757226.0,4399980.0,1434.0,1174.0,2.0,-0.00387718,0.200053,48.7985,240.429,363.0,1448.0,849.0,1.0,0.160665,0.0,299.0,2.04235,0.250066,230.24,39,32618.0,39.71107132461902,-77.99936965541669,0.9858474858474858,-3.1566665961096683,-12.322423966996597,1.7988341156235257,-1.7e+308,1.7978438792131193,0.46113249039526494,0.4348548069239137,99.1593684745125,40.50424103547079,11.35509929865639,11.731964142680162,43.76363701576536,745.3818292888728,257.3818220171061,43.781818834218114,1481.2545675269582,1437.4727486927402
33,tile_3_filled_HilltopData,41723.0,704498.0,4321710.0,1549.0,1344.0,1.0,-0.00479979,0.234897,63.8386,271.66,322.0,1381.0,1448.0,1.0,0.21745,0.0,319.0,2.92075,0.293622,258.556,3,32617.0,39.02056374087575,-78.63801082227543,0.9845918653374922,-1.4724999670870602,-12.210151242233362,1.360709878413565,0.047323121313359716,1.3565198639291367,0.5133330498819142,0.47462062734609295,114.79187212979518,53.17517932085355,11.40316324403705,12.372505527330722,77.66363752091473,899.754558861933,356.2000053077936,77.83636479621583,1506.3818406286564,1428.5454758324406
34,tile_40_filled_HilltopData,42989.0,501481.0,4128050.0,1740.0,1266.0,2.0,-0.00916417,0.323091,57.812,178.903,356.0,1831.0,1134.0,1.0,0.252747,38.0,160.0,3.74605,0.403864,171.379,40,32617.0,37.299068184722486,-80.98328890071599,0.9889027534790454,1.228106033155751,-9.65992402650811,1.0523615833801148,0.03039833846131554,1.0475706873641966,0.3278188883684587,0.22773573373232334,157.71536946726243,92.76384225428068,11.777259401974785,13.601892858429446,211.0090940533714,1370.0363840514963,696.8545558384874,211.73636679148132,1463.6909309016032,1251.954564110122
35,tile_4_filled_HilltopData,41398.0,660784.0,4339810.0,1058.0,1552.0,2.0,-0.00478002,0.279311,60.9456,219.04,447.0,1242.0,1814.0,1.0,0.228293,18.0,245.0,2.42298,0.349139,212.386,4,32617.0,39.192649580304746,-79.13819174069596,0.983168044077135,-3.57015143535241,-14.095984533415034,1.4874236961459777,-1.7e+308,1.4857393969100179,0.49857263710287847,0.4764645300482584,88.15171953219922,30.99329028958622,11.153536282706552,12.55595486006705,44.34545520625331,649.4909187690778,192.900002874434,44.37272793393243,1747.8545714996078,1703.4818435656753
36,tile_5_filled_HilltopData,51000.5,726912.0,4365110.0,1504.0,1447.0,2.0,-0.004309045,0.24375449999999999,54.940250000000006,268.6445,374.0,1550.0,1186.0,1.0,0.17939850000000002,2.0,311.0,2.5114900000000002,0.304693,258.70500000000004,5,32617.0,39.405620665992124,-78.36460732679475,0.9889001806785445,-0.894393919402677,-11.342575504049433,1.4337698605507192,-1.7e+308,1.4313849915035266,0.4946019890099628,0.45719920094638683,122.5408593304004,60.29481219377841,11.36247984668757,12.141304989110314,74.55454656549476,974.9818327101794,409.0545515499332,74.65454656698488,1495.4091131924229,1420.754566625438
37,tile_6_filled_HilltopData,43925.0,751228.0,4403270.0,1542.0,1623.0,1.0,-0.00505991,0.228322,47.0969,213.784,371.0,1624.0,1583.0,1.0,0.186423,0.0,264.0,2.25887,0.285403,207.006,6,32617.0,39.74237102600722,-78.06796194911874,0.9701087340415404,-3.268484775428519,-12.866439106352063,1.6168265309384215,-1.7e+308,1.6147033057850706,0.4921513634297064,0.46129011143118265,97.58499752592947,39.039386769277684,11.512260205808603,12.012169676902596,50.945455304600976,733.409101837738,248.96364007348365,51.00000075995922,1461.9545672393658,1410.9545664794066
38,tile_7_filled_HilltopData,19567.5,686433.0,4386410.0,918.0,1363.0,1.0,-0.0037310950000000002,0.2317125,43.943349999999995,212.5575,243.0,968.0,1568.0,1.0,0.169743,1.0,263.0,1.740925,0.289641,203.164,7,32617.0,39.60720589199014,-78.82841460781088,0.9910894660894661,-3.5438635571521115,-13.463408789978446,1.4800758443724695,-1.7e+308,1.4790432691591555,0.507207660021796,0.47036345935434243,94.69290274048215,36.75169686030963,11.606329566199049,12.277745890170781,64.84545551172711,711.5545560575345,237.67273081432688,64.87272823940624,1493.036385884339,1428.163657644933
39,tile_8_filled_HilltopData,50807.0,709047.0,4402060.0,1475.0,1042.0,1.0,-0.00307833,0.174477,47.7634,265.837,423.0,1795.0,1275.0,1.0,0.14647,0.0,344.0,1.79659,0.218097,259.498,8,32617.0,39.74283584321159,-78.56029850030716,0.9910894660894661,-3.5438635571521115,-13.463408789978446,1.4800758443724695,-1.7e+308,1.4790432691591555,0.507207660021796,0.47036345935434243,94.69290274048215,36.75169686030963,11.606329566199049,12.277745890170781,64.84545551172711,711.5545560575345,237.67273081432688,64.87272823940624,1493.036385884339,1428.163657644933
40,tile_9_filled_HilltopData,27661.0,709999.0,4434480.0,1850.0,1283.0,2.0,-0.00311876,0.145705,31.6556,202.415,245.0,1702.0,1459.0,1.0,0.112098,0.0,253.0,1.40241,0.182131,195.434,9,32617.0,40.03441913209762,-78.53868404244021,0.9949494949494949,-5.788030173657744,-15.494999653659761,1.5420556806655592,0.018127570663193725,1.5408962133014699,0.5142297207673879,0.4850661305890957,66.58785881492257,17.8837270061482,11.679623806348289,12.057897027945241,49.62727346677672,475.07273435186255,110.76363801414317,49.64545528522947,1577.8727507848632,1528.2272954996336
